area,district,min_age,max_age,age_summary,gender,income_category,income_summary,personal_category,personal_summary,household_category,household_summary,support_type,support_summary,application_method,application_summary,benefit_category,benefit_summary,start_date,end_date,date_summary,benefit_details,source,additional_data,keywords,서비스ID
전국,,0,99,,,,,,,,,기타,,온라인 신청,,생활안정,,,,,등록일시: 20201217142613 지원대상: 지원대상 : 국공립 및 사립유치원에 다니는 35세 유아 - 22년 12월생으로 유치원 입학을 희망하여 3세반에 취원한 유아도 지원 ,모름,아니오,"['유아학비', '누리과정', '지원']",000000465790
전국,,0,99,,,,,,,,,기타,,온라인 신청,,생활안정,,,,,"등록일시: 20201217142613 지원대상: 신청요건을 모두 충족하는 근로소득, 사업소득 또는 종교인소득이 있는 가구로써 신청기간 내 신청하는 경우 근로소득, 사업소득 또는 종",모름,아니오,['근로자녀장려금'],105100000001
전국,,0,99,,,,,,,,,기타,,온라인 신청,,생활안정,,,,,등록일시: 20201217142613 지원대상: 보증금 1억 원 이하 및 월세금 60만 원 이하인 월세 계약을 체결한 주택도시 기금 주거안정 월세대출 대상자 지원내용: 주택도시기금,모름,아니오,"['주택금융공사', '월세', '자금보증']",116010000001
전국,,0,99,,,,,,,,,기타,,온라인 신청,,생활안정,,,,,"등록일시: 20201217142613 지원대상: 어선의 기관, 고효율 등()(집어등, 작업등) 외 에너지 절감 장비의 대체 또는 설치 희망하는 연근해 허가를 가진 어업인 지원내용:",모름,아니오,"['친환경', '에너지', '절감']",119200000001
전국,,0,99,,,,,,,,,기타,,온라인 신청,,생활안정,,,,,"등록일시: 20201217142613 지원대상: 사회적 약자(연령, 장애, 빈곤, 교육정도 등)에 해당하는 해양사고관련자 지원내용: 해양사고관련자가 심판원에 대하여 하는 신청청구진",모름,아니오,"['해양사고', '국선', '심판변론인']",119200000007
전국,,0,99,,,,,,,,,기타,,온라인 신청,,생활안정,,,,,등록일시: 20201217142613 지원대상: 국제옵서버를 승선시킨 원양선사 지원내용: 원양어선에 승선하여 활동하는 국제옵서버 승선경비 및 활동 지원 신청기한: 수시 신청방법: ,모름,아니오,"['옵서버', '승선경비', '지원']",119200000008
전국,,0,99,,,,,,,,,기타,,온라인 신청,,생활안정,,,,,등록일시: 20201217142613 지원대상: 기획재정부령에서 정한 방법 또는 요건에 적합하게 채포한 수산물을 국내로 수입하는 자 지원내용: 관세감면 신청기한: 수시 신청방법: ,모름,아니오,"['합작수산물', '관세', '감면']",119200000010
전국,,0,99,,,,,,,,,기타,,온라인 신청,,생활안정,,,,,"등록일시: 20201217142613 지원대상: 귀어업인(희망자 포함) 및 재촌비어업인으로서, 사업신청 연도기준 만 65세 이하인 자 지원내용: 지원대상자로 선정된 자가 사업(일부",모름,아니오,"['귀어', '창업', '및']",119200000012
전국,,0,99,,,,,,,,,기타,,온라인 신청,,생활안정,,,,,등록일시: 20201217142613 지원대상: 1.원양어업발전법제6조제1항에 따른 원양어업허가를 받은 자 2.원양어업발전법제6조제7항에 따른 외국인과 합작하여 설립한 해외현지법인,모름,아니오,"['원양어업', '경영자금', '지원']",119200000016
전국,,0,99,,,,,,,,,기타,,온라인 신청,,생활안정,,,,,등록일시: 20201217142613 지원대상: 원양어업 허가어선을 소유한 선사 지원내용: 원양어선의 안전성 확보와 어선원 복지 증진을 위해 안전펀드를 조성하여 노후 원양어선의 대,모름,아니오,['원양어선안전관리'],119200000022
전국,,0,99,,,,,,,,,기타,,온라인 신청,,생활안정,,,,,"등록일시: 20201217142613 지원대상: 수산업어촌 발전 기본법 및 농어업경영체 육성 및 지원에 관한 법률에서 규정하고 있는 수산인(유통가공업체), 어업인, 어업법인 및 생",모름,아니오,"['수산장비', '구입', '지원']",119200000024
